,index,date,open,low,high,close,volume,symbol,vendor_name
1128,1128,2023-08-02 10:14:00,330.16,329.61,330.17,329.82,325032,MSFT,financial modeling prep
1129,1129,2023-08-02 10:13:00,330.08,330.02,330.27,330.155,91429,MSFT,financial modeling prep
1130,1130,2023-08-02 10:12:00,330.34,330.06,330.36,330.07,109192,MSFT,financial modeling prep
1131,1131,2023-08-02 10:11:00,330.33,330.29,330.62,330.355,98728,MSFT,financial modeling prep
1132,1132,2023-08-02 10:10:00,330.68,330.21,330.7,330.31,115547,MSFT,financial modeling prep
1133,1133,2023-08-02 10:09:00,330.7,330.47,330.75,330.705,89499,MSFT,financial modeling prep
1134,1134,2023-08-02 10:08:00,330.87,330.5,330.88,330.66,138037,MSFT,financial modeling prep
1135,1135,2023-08-02 10:07:00,330.87,330.74,331.01,330.88,93879,MSFT,financial modeling prep
1136,1136,2023-08-02 10:06:00,331.19,330.88,331.27,330.885,74546,MSFT,financial modeling prep
1137,1137,2023-08-02 10:05:00,331.0,330.97,331.34,331.18,82645,MSFT,financial modeling prep
1138,1138,2023-08-02 10:04:00,330.91,330.8,331.14,331.03,70079,MSFT,financial modeling prep
1139,1139,2023-08-02 10:03:00,331.29,330.8538,331.29,330.9,123226,MSFT,financial modeling prep
1140,1140,2023-08-02 10:02:00,331.19,331.1301,331.67,331.27,90767,MSFT,financial modeling prep
1141,1141,2023-08-02 10:01:00,331.27,331.09,331.32,331.17,90468,MSFT,financial modeling prep
1142,1142,2023-08-02 10:00:00,331.45,331.03,331.5,331.23,93380,MSFT,financial modeling prep
1143,1143,2023-08-02 09:59:00,331.57,331.394,331.71,331.45,67603,MSFT,financial modeling prep
1144,1144,2023-08-02 09:58:00,331.802,331.5396,331.83,331.57,50906,MSFT,financial modeling prep
1145,1145,2023-08-02 09:57:00,331.8505,331.71,331.97,331.856,34927,MSFT,financial modeling prep
1146,1146,2023-08-02 09:56:00,331.49,331.49,332.0,331.825,64502,MSFT,financial modeling prep
1147,1147,2023-08-02 09:55:00,331.28,331.24,331.51,331.425,47217,MSFT,financial modeling prep
1148,1148,2023-08-02 09:54:00,331.88,331.0901,331.88,331.255,100925,MSFT,financial modeling prep
1149,1149,2023-08-02 09:53:00,331.46,331.44,331.93,331.84,50727,MSFT,financial modeling prep
1150,1150,2023-08-02 09:52:00,331.83,331.3,331.9,331.43,136280,MSFT,financial modeling prep
1151,1151,2023-08-02 09:51:00,332.11,331.761,332.155,331.761,64200,MSFT,financial modeling prep
1152,1152,2023-08-02 09:50:00,332.08,331.89,332.17,332.07,53666,MSFT,financial modeling prep
1153,1153,2023-08-02 09:49:00,332.06,331.925,332.2277,332.065,61945,MSFT,financial modeling prep
1154,1154,2023-08-02 09:48:00,332.0529,331.9,332.25,332.0485,36576,MSFT,financial modeling prep
